instance,size,gurobi_model,objective,status,runtime,mip_gap,milp_variables,milp_constraints,formulation,solver,gurobi_optimum,true_gap_percent,is_feasible,total_violation,feasible_fraction,linking,qubo_variables_x,qubo_quadratic_terms_x,num_reads,best_energy,best_objective,best_is_feasible,best_total_violation,best_max_violation,best_feasible_objective,best_feasible_energy,num_samples,energy_mismatch,reported_best_energy,argmin_agreement,unique_samples,feasible_reads,sa_num_sweeps,sa_seed,qa_chain_strength,qa_chain_strength_alpha,qa_annealing_time,qa_chain_break_method,qa_chain_break_fraction,qa_wall_clock,qa_qpu_access_time_us,qa_qpu_sampling_time_us,embedding_status,logical_variables,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_message,qubo_variables_y,qubo_terms,qubo_quadratic_terms_y,decision_variables,encoding_variables,slack_variables,qubo_min,qubo_max,qubo_range,penalty_objective_upper_bound,penalty_margin,penalty_lambda
4x4,4,SS,2416.8364,OPTIMAL,0.0059498100000006,0.0,20.0,8.0,SS,Gurobi,2416.8364,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
6x6,6,SS,4886.794,OPTIMAL,0.0007939730000003,0.0,42.0,12.0,SS,Gurobi,4886.794,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.76572
8x8,8,SS,3952.5153,OPTIMAL,0.0060946540000017,0.0,72.0,16.0,SS,Gurobi,3952.5153,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
15x15,15,SS,8489.1855,OPTIMAL,0.1002068690000008,0.0,240.0,30.0,SS,Gurobi,8489.1855,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,329,5355,5026,240,0,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
4x4,4,MS,2416.8364,OPTIMAL,0.0093270019999991,0.0,20.0,8.0,MS,Gurobi,2416.8364,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
6x6,6,MS,3968.8513,OPTIMAL,0.0159628010000005,0.0,42.0,12.0,MS,Gurobi,3968.8513,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
8x8,8,MS,3626.6311,OPTIMAL,0.0017593659999981,0.0,72.0,16.0,MS,Gurobi,3626.6311,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,413,18016,17603,8,360,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
15x15,15,MS,7909.2986,OPTIMAL,0.0213045960000002,0.0,240.0,30.0,MS,Gurobi,7909.2986,0.0,True,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,1439,125296,123857,15,1335,89,-749692508.9940001,828988069.9566501,1578680578.9506502,56984.836500000005,1.1,62683.32015000001
4x4,4,,2593.0879,OK,0.4195813997648656,,,,SS,SA,2416.8364,7.292653321507399,True,0.0,0.009,False,44.0,246.0,1000.0,2593.087900003069,2593.0879,True,0.0,0.0,2593.0879,2593.087900003069,1000.0,7.996405919885547e-15,2593.087900042534,True,1000.0,9.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
4x4,4,,2416.8364,OK,0.5686371996998787,,,,SS,SA,2416.8364,0.0,True,0.0,0.008,True,60.0,278.0,1000.0,2416.8363999836147,2416.8364,True,0.0,0.0,2416.8364,2416.8363999836147,1000.0,1.0022234043850696e-14,2416.836400061846,True,1000.0,8.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,44,290,246,20,0,24,-30650926.614000004,28995066.636400003,59645993.25040001,5379.243,1.1,5917.167300000001
4x4,4,,3123.4155,OK,2.206469700206071,,,,MS,SA,2416.8364,29.235702507625255,True,0.0,0.897,False,120.0,2540.0,1000.0,3123.4155000150204,3123.4155,True,0.0,0.0,3123.4155,3123.4155000150204,1000.0,4.047187618217265e-14,3123.415500879288,True,1000.0,897.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
4x4,4,,3578.5833,OK,3.5005700001493096,,,,MS,SA,2416.8364,48.06890942225132,True,0.0,0.63,True,212.0,3384.0,1000.0,3578.5833001956344,3578.5833,True,0.0,0.0,3578.5833,3578.5833001956344,1000.0,7.176949173915406e-14,3578.5832977592945,True,1000.0,630.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,120,2660,2540,4,92,24,-26508909.504000004,28995066.636400003,55503976.14040001,5379.243,1.1,5917.167300000001
6x6,6,,5988.4188,OK,0.7344701997935772,,,,SS,SA,4886.794,22.542894175608804,True,1.0,0.002,False,79.0,571.0,1000.0,18324.893920009577,5354.1282,False,1.0,1.0,5988.4188,18959.184519880306,1000.0,5.836658046441971e-14,18324.893923282623,True,1000.0,2.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.76572
6x6,6,,5711.6042,OK,1.0452733002603054,,,,SS,SA,4886.794,16.8783501002907,True,1.0,0.003,True,115.0,643.0,1000.0,18458.380420078385,5487.6147,False,1.0,1.0,5711.6042,874752.9074401599,1000.0,6.63133666597127e-14,18458.38042664528,True,1000.0,3.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,79,650,571,42,0,37,-89498283.46800001,61754762.879020005,151253046.34702003,11791.6052,1.1,12970.76572
6x6,6,,5193.725600000001,OK,6.466006699949503,,,,MS,SA,3968.8513,30.86218674909793,True,0.0,0.977,False,259.0,8701.0,1000.0,5193.725599691272,5193.725600000001,True,0.0,0.0,5193.725600000001,5193.725599691272,1000.0,6.304287800803023e-13,5193.725621461868,True,1000.0,977.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
6x6,6,,5930.6206,OK,9.53632410010323,,,,MS,SA,3968.8513,49.42914590929624,True,0.0,0.653,True,475.0,10753.0,1000.0,6031.706301882863,6031.7063,True,0.0,0.0,5930.6206,31872.152040347457,1000.0,5.038569854828767e-13,6031.70635008812,True,1000.0,653.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,259,8960,8701,6,216,37,-57278901.419520006,61754762.879020005,119033664.29854,11791.6052,1.1,12970.76572
8x8,8,,5271.9611,OK,1.185111299622804,,,,SS,SA,3952.5153,33.38243371252732,True,0.0,0.002,False,117.0,1030.0,1000.0,5725.805300213367,5725.8053,True,0.0,0.0,5271.9611,95394.8940001982,1000.0,5.095009427804938e-14,5725.805321216583,True,1000.0,2.0,1000.0,12345.0,,,,,,,,,N/A,,,,,,,117,1147,1030,72,0,45,-336843474.00704,384213301.75078,721056775.7578199,16385.9878,1.1,18024.58658
