formulation,size,instance,objective,objective,objective,runtime,runtime,runtime,true_gap_percent,true_gap_percent,true_gap_percent
,,,Gurobi,QA,SA,Gurobi,QA,SA,Gurobi,QA,SA
MS,4,15x15,,,,,,,,,
MS,4,4x4,2416.8364,,3350.9993999999997,0.0093270019999991,1.6018506998661906,2.8535198501776904,0.0,,38.65230596493829
MS,4,6x6,,,,,,,,,
MS,4,8x8,,,,,,,,,
MS,6,15x15,,,,,,,,,
MS,6,4x4,,,,,,,,,
MS,6,6x6,3968.8513,,5562.1731,0.0159628010000005,,8.001165400026366,0.0,,40.145666329197084
MS,6,8x8,,,,,,,,,
MS,8,15x15,,,,,,,,,
MS,8,4x4,,,,,,,,,
MS,8,6x6,,,,,,,,,
MS,8,8x8,3626.6311,,6547.0244999999995,0.0017593659999981,,14.661107999738306,0.0,,80.5263430294854
MS,15,15x15,7909.2986,,14491.0956,0.0213045960000002,,76.20057089976035,0.0,,83.21593775711034
MS,15,4x4,,,,,,,,,
MS,15,6x6,,,,,,,,,
MS,15,8x8,,,,,,,,,
SS,4,15x15,,,,,,,,,
SS,4,4x4,2416.8364,3078.0536,2504.9621500000003,0.0059498100000006,1.2273376500234008,0.49410929973237216,0.0,27.35879019365978,3.6463266607536995
SS,4,6x6,,,,,,,,,
SS,4,8x8,,,,,,,,,
SS,6,15x15,,,,,,,,,
SS,6,4x4,,,,,,,,,
SS,6,6x6,4886.794,,5850.0115000000005,0.0007939730000003,1.2054642501752824,0.8898717500269413,0.0,,19.710622137949752
SS,6,8x8,,,,,,,,,
SS,8,15x15,,,,,,,,,
SS,8,4x4,,,,,,,,,
SS,8,6x6,,,,,,,,,
SS,8,8x8,3952.5153,,5617.3188,0.0060946540000017,1.3501377501524985,1.4503381997346878,0.0,,42.120102609090466
SS,15,15x15,8489.1855,,,0.1002068690000008,2.0112220998853445,4.538259149994701,0.0,,
SS,15,4x4,,,,,,,,,
SS,15,6x6,,,,,,,,,
SS,15,8x8,,,,,,,,,
