instance,formulation,topology,topology_label,topology_size,timeout,tries,seed,logical_variables,logical_edges,sweep,success,elapsed,physical_qubits,avg_chain_length,max_chain_length,embedding_overhead
4x4,MS,pegasus,qpu:pegasus,-1,300,5,2024,120,2540,timeout,True,33.56342539999969,1118.0,9.316666666666666,17.0,9.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,300,5,2025,120,2540,timeout,True,23.785200299998905,998.0,8.316666666666666,13.0,8.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,300,5,2026,120,2540,timeout,True,26.62708399999974,1192.0,9.933333333333334,16.0,9.933333333333334
4x4,MS,pegasus,qpu:pegasus,-1,300,5,2027,120,2540,timeout,True,26.651105599999937,1107.0,9.225,16.0,9.225
4x4,MS,pegasus,qpu:pegasus,-1,300,5,2028,120,2540,timeout,True,23.72532429999956,1035.0,8.625,13.0,8.625
4x4,MS,pegasus,qpu:pegasus,-1,600,5,2024,120,2540,timeout,True,32.66658720000123,1118.0,9.316666666666666,17.0,9.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,600,5,2025,120,2540,timeout,True,23.38335150000057,998.0,8.316666666666666,13.0,8.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,600,5,2026,120,2540,timeout,True,26.59037730000091,1192.0,9.933333333333334,16.0,9.933333333333334
4x4,MS,pegasus,qpu:pegasus,-1,600,5,2027,120,2540,timeout,True,26.34741000000031,1107.0,9.225,16.0,9.225
4x4,MS,pegasus,qpu:pegasus,-1,600,5,2028,120,2540,timeout,True,23.724546199999168,1035.0,8.625,13.0,8.625
4x4,MS,pegasus,qpu:pegasus,-1,1200,5,2024,120,2540,timeout,True,32.40010439999969,1118.0,9.316666666666666,17.0,9.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,1200,5,2025,120,2540,timeout,True,23.40024970000013,998.0,8.316666666666666,13.0,8.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,1200,5,2026,120,2540,timeout,True,26.1857973999995,1192.0,9.933333333333334,16.0,9.933333333333334
4x4,MS,pegasus,qpu:pegasus,-1,1200,5,2027,120,2540,timeout,True,26.195436499998323,1107.0,9.225,16.0,9.225
4x4,MS,pegasus,qpu:pegasus,-1,1200,5,2028,120,2540,timeout,True,23.4651744999992,1035.0,8.625,13.0,8.625
4x4,MS,pegasus,qpu:pegasus,-1,2400,5,2024,120,2540,timeout,True,32.019115899998724,1118.0,9.316666666666666,17.0,9.316666666666666
4x4,MS,pegasus,qpu:pegasus,-1,2400,5,2025,120,2540,timeout,True,23.4138071999987,998.0,8.316666666666666,13.0,8.316666666666666
