instance,formulation,multiplier,lambda_value,qubo_min,qubo_max,qubo_range,max_abs_coupling,scaled_objective_coefficient,solver,status,feasible_fraction,best_feasible_objective,true_gap_percent,ground_state_is_feasible,runtime,qa_chain_strength,qa_chain_break_fraction,physical_qubits,max_chain_length
4x4,SS,0.1,241.68364000000003,-1251921.2552,1185196.7024,2437117.9576000003,312980.3138,0.0002109167800316775,SA,OK,0.012,2416.8364,0.0,False,0.42054910003207624,,,,
4x4,SS,0.25,604.2091,-3129803.1380000003,2961571.4564000005,6091374.594400001,782450.7845000001,8.436671201267099e-05,SA,OK,0.019,2416.8364,0.0,True,0.4194824998266995,,,,
4x4,SS,0.5,1208.4182,-6259606.276000001,5922196.0464,12181802.3224,1564901.5690000001,4.2183356006335494e-05,SA,OK,0.016,2416.8364,0.0,True,0.42362329992465675,,,,
4x4,SS,0.75,1812.6273,-9389409.413999999,8882820.636400001,18272230.0504,2347352.3534999997,2.8122237337557003e-05,SA,OK,0.008,3143.7096,30.075399394017733,True,0.42093229992315173,,,,
4x4,SS,1.0,2416.8364,-12519212.552000001,11843445.226400001,24362657.778400004,3129803.1380000003,2.1091678003167747e-05,SA,OK,0.01,2416.8364,0.0,True,0.4214544000569731,,,,
4x4,SS,1.25,3021.0455,-15649015.690000001,14804069.8164,30453085.506400004,3912253.9225000003,1.68733424025342e-05,SA,OK,0.008,2602.8229,7.695452617314104,True,0.4209684000816196,,,,
4x4,SS,1.5,3625.2546,-18778818.827999998,17764694.406400003,36543513.234400004,4694704.7069999995,1.4061118668778502e-05,SA,OK,0.007,2426.5714,0.4027992958066865,True,0.42446179990656674,,,,
4x4,SS,2.0,4833.6728,-25038425.104000002,23685943.586400002,48724368.690400004,6259606.276000001,1.0545839001583874e-05,SA,OK,0.011,2416.8364,0.0,True,0.4227818001527339,,,,
4x4,SS,3.0,7250.5092,-37557637.655999996,35528441.94640001,73086079.6024,9389409.413999999,7.030559334389251e-06,SA,OK,0.006,2970.7976000000003,22.92092257465173,True,0.4221318999771029,,,,
4x4,SS,5.0,12084.182,-62596062.760000005,59213438.66640001,121809501.4264,15649015.690000001,4.21833560063355e-06,SA,OK,0.013,2426.5714,0.4027992958066865,True,0.4226468000560999,,,,
4x4,SS,7.5,18126.273,-93894094.14,88819684.5664,182713778.7064,23473523.535,2.8122237337557e-06,SA,OK,0.009,2426.5714,0.4027992958066865,True,0.42157040000893176,,,,
4x4,SS,10.0,24168.364,-125192125.52000001,118425930.46640001,243618055.9864,31298031.380000003,2.109167800316775e-06,SA,OK,0.012,2593.0879,7.292653321507399,True,0.42205179994925857,,,,
4x4,SS,0.1,241.68364000000003,-1251921.2552,1185196.7024,2437117.9576000003,312980.3138,0.0002109167800316775,QA,OK,0.007,2970.7976000000003,22.92092257465173,True,1.2168850998859853,469470.4707,0.01993181818181818,105.0,4.0
4x4,SS,0.25,604.2091,-3129803.1380000003,2961571.4564000005,6091374.594400001,782450.7845000001,8.436671201267099e-05,QA,OK,0.001,3085.3246,27.659638029284885,True,1.2274061001371592,1173676.17675,0.021590909090909088,105.0,4.0
4x4,SS,0.5,1208.4182,-6259606.276000001,5922196.0464,12181802.3224,1564901.5690000001,4.2183356006335494e-05,QA,OK,0.006,2602.8229,7.695452617314104,True,1.2545682999771088,2347352.3535,0.01925,105.0,4.0
4x4,SS,0.75,1812.6273,-9389409.413999999,8882820.636400001,18272230.0504,2347352.3534999997,2.8122237337557003e-05,QA,OK,0.007,2909.0731,20.366984707777487,True,1.192089900141582,3521028.53025,0.021545454545454548,105.0,4.0
4x4,SS,1.0,2416.8364,-12519212.552000001,11843445.226400001,24362657.778400004,3129803.1380000003,2.1091678003167747e-05,QA,OK,0.004,2426.5714,0.4027992958066865,True,1.2357310999650508,4694704.707,0.018659090909090906,105.0,4.0
4x4,SS,1.25,3021.0455,-15649015.690000001,14804069.8164,30453085.506400004,3912253.9225000003,1.68733424025342e-05,QA,OK,0.002,3133.9746,29.672600098211028,True,0.6933609000407159,5868380.883750001,0.020272727272727272,105.0,4.0
4x4,SS,1.5,3625.2546,-18778818.827999998,17764694.406400003,36543513.234400004,4694704.7069999995,1.4061118668778502e-05,QA,OK,0.007,2426.5714,0.4027992958066865,True,0.7208641998004168,7042057.0605,0.020090909090909093,105.0,4.0
4x4,SS,2.0,4833.6728,-25038425.104000002,23685943.586400002,48724368.690400004,6259606.276000001,1.0545839001583874e-05,QA,OK,0.004,3070.7826000000005,27.05794235803467,True,0.7002799999900162,9389409.414,0.020977272727272726,105.0,4.0
4x4,SS,3.0,7250.5092,-37557637.655999996,35528441.94640001,73086079.6024,9389409.413999999,7.030559334389251e-06,QA,OK,0.006,2426.5714,0.4027992958066865,True,0.719224700005725,14084114.121,0.01875,105.0,4.0
4x4,SS,5.0,12084.182,-62596062.760000005,59213438.66640001,121809501.4264,15649015.690000001,4.21833560063355e-06,QA,OK,0.005,2426.5714,0.4027992958066865,True,0.7070540999993682,23473523.535000004,0.020818181818181816,105.0,4.0
4x4,SS,7.5,18126.273,-93894094.14,88819684.5664,182713778.7064,23473523.535,2.8122237337557e-06,QA,OK,0.006,2426.5714,0.4027992958066865,True,0.7558057000860572,35210285.3025,0.020454545454545454,105.0,4.0
4x4,SS,10.0,24168.364,-125192125.52000001,118425930.46640001,243618055.9864,31298031.380000003,2.109167800316775e-06,QA,OK,0.007,2426.5714,0.4027992958066865,True,0.6928431999403983,46947047.07000001,0.019636363636363632,105.0,4.0
