instance,size,gurobi_model,objective,status,runtime,mip_gap,milp_variables,milp_constraints
4x4,4,SS,2416.8364,OPTIMAL,0.0059498100000006104,0.0,20,8
4x4,4,MS,2416.8364,OPTIMAL,0.00932700199999914,0.0,20,8
4x4,4,MS-int-q,2416.8364,OPTIMAL,0.0030685720000001027,0.0,20,8
6x6,6,SS,4886.794,OPTIMAL,0.000793973000000392,0.0,42,12
6x6,6,MS,3968.8513,OPTIMAL,0.01596280100000058,0.0,42,12
6x6,6,MS-int-q,3968.8513,OPTIMAL,0.011736452999997482,0.0,42,12
8x8,8,SS,3952.5153,OPTIMAL,0.0060946540000017535,0.0,72,16
8x8,8,MS,3626.6311,OPTIMAL,0.0017593659999981526,0.0,72,16
8x8,8,MS-int-q,3626.6311,OPTIMAL,0.002593600000000862,0.0,72,16
15x15,15,SS,8489.1855,OPTIMAL,0.10020686900000086,0.0,240,30
15x15,15,MS,7909.2986,OPTIMAL,0.02130459600000023,0.0,240,30
15x15,15,MS-int-q,7909.2986,OPTIMAL,0.08782122399999892,0.0,240,30
