instance,size,formulation,linking,qubo_variables,qubo_quadratic_terms,solver,status,runtime,num_reads,best_energy,best_objective,best_is_feasible,best_total_violation,best_max_violation,feasible_fraction,best_feasible_objective,best_feasible_energy,num_samples,energy_mismatch,reported_best_energy,argmin_agreement,unique_samples,feasible_reads,qa_chain_strength,qa_chain_strength_alpha,qa_annealing_time,qa_chain_break_method,qa_chain_break_fraction,qa_wall_clock,qa_qpu_access_time_us,qa_qpu_sampling_time_us,embedding_status,logical_variables,physical_qubits,max_chain_length,mean_chain_length,embedding_search_time,qa_message
4x4,4,SS,False,44,246,QA,OK,1.2395088002085686,1000,45167.79749999347,3747.6264,False,3.0,1.0,0.003,3070.7826000000005,1222007.2463999991,1000,1.1866767877203837e-15,45167.79750000802,True,1000.0,3.0,11494097.480250001,1.5,20.0,majority_vote,0.018977272727272728,1.2395088002085686,218138.76,202380.0,OK,44,105,4,2.3863636363636362,0.6271463995799422,
4x4,4,SS,True,60,278,QA,OK,1.215166499838233,1000,238964.33840002253,2277.6464,False,1.0,1.0,0.003,3085.3246,3038592.1495000077,1000,9.675025468567429e-16,238964.338400001,True,1000.0,3.0,11498535.355725002,1.5,20.0,majority_vote,0.004516666666666667,1.215166499838233,175516.36,159760.0,OK,60,121,5,2.0166666666666666,0.6944025000557303,
4x4,4,MS,False,120,2540,QA,OK,1.595992799848318,1000,761113.6534000002,3716.2390000000005,False,16.0,8.0,0.0,,,1000,3.8928172778872535e-15,761113.6533999873,True,1000.0,0.0,9940841.064000001,1.5,20.0,majority_vote,0.0005083333333333333,1.595992799848318,234596.76,218840.0,OK,120,1060,16,8.833333333333334,29.26419989997521,
4x4,4,MS,True,212,3384,QA,OK,1.607708599884063,1000,5329211.412899885,3760.8429000000006,False,23.0,9.0,0.0,,,1000,8.734342523309799e-15,5329211.412900062,True,1000.0,0.0,9940841.064000001,1.5,20.0,majority_vote,0.0023537735849056603,1.607708599884063,257379.96,241620.0,OK,212,1555,18,7.334905660377358,46.00454089976847,
6x6,6,SS,False,79,571,QA,OK,1.1891129002906382,1000,3054411.360099961,6281.4159,False,11.0,6.0,0.0,,,1000,2.6107293781772006e-15,3054411.3601000123,True,1000.0,0.0,33561856.300500005,1.5,20.0,majority_vote,0.009898734177215191,1.1891129002906382,142398.76,126640.0,OK,79,271,7,3.430379746835443,2.4489138000644743,
6x6,6,SS,True,115,643,QA,OK,1.2218156000599265,1000,2976466.6460799747,6161.2962,False,3.0,1.0,0.0,,,1000,3.3473186460102953e-15,2976466.646079998,True,1000.0,0.0,33571584.374790005,1.5,20.0,majority_vote,0.029626086956521743,1.2218156000599265,161919.16,146160.0,OK,115,341,8,2.965217391304348,2.0509044998325408,
6x6,6,MS,False,259,8701,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,259,0,0,,307.4534595999867,"QUBO 변수 259개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
6x6,6,MS,True,475,10753,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,475,0,0,,307.8256224999204,"QUBO 변수 475개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
8x8,8,SS,False,117,1030,QA,OK,1.3438653000630438,1000,37732043.26144028,6583.5495,False,40.0,15.0,0.0,,,1000,2.645212827808053e-15,37732043.261439785,True,1000.0,0.0,126316302.75263998,1.5,20.0,majority_vote,0.00052991452991453,1.3438653000630438,195956.36,180200.0,OK,117,619,11,5.2905982905982905,4.375632000155747,
8x8,8,SS,True,181,1158,QA,OK,1.3564102002419531,1000,39823661.20311982,7349.447899999999,False,73.0,20.0,0.0,,,1000,3.719086797372313e-15,39823661.203119785,True,1000.0,0.0,126316302.75263998,1.5,20.0,majority_vote,0.0005027624309392265,1.3564102002419531,213739.56,197980.0,OK,181,720,12,3.977900552486188,7.6413956000469625,
8x8,8,MS,False,413,17603,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,413,0,0,,312.805055399891,"QUBO 변수 413개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
8x8,8,MS,True,773,20843,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,773,0,0,,313.6785331000574,"QUBO 변수 773개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
15x15,15,SS,False,329,5026,QA,OK,2.0112220998853445,1000,1350275522.5491495,14123.198,False,19.0,8.0,0.0,,,1000,3.4735508832197753e-15,1350275522.5491502,True,1000.0,0.0,281134690.87275004,1.5,20.0,majority_vote,0.18508510638297873,2.0112220998853445,289658.76,273900.0,OK,329,4494,34,13.659574468085106,132.87719219969586,
15x15,15,SS,True,554,5476,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,554,0,0,,305.79789139982313,"QUBO 변수 554개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
15x15,15,MS,False,1439,123857,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,1439,0,0,,432.9948175000027,"QUBO 변수 1439개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
15x15,15,MS,True,2774,136427,QA,NOT_EMBEDDABLE,,0,,,False,,,,,,0,,,,,,,,,,,,,,NOT_EMBEDDABLE,2774,0,0,,378.66180759994313,"QUBO 변수 2774개를 QPU 그래프에 embedding하지 못했습니다 (seed=2024, timeout=300s)."
