instance,size,formulation,linking,qubo_variables,qubo_quadratic_terms,solver,status,runtime,num_reads,best_energy,best_objective,best_is_feasible,best_total_violation,best_max_violation,feasible_fraction,best_feasible_objective,best_feasible_energy,num_samples,energy_mismatch,reported_best_energy,argmin_agreement,unique_samples,feasible_reads,sa_num_sweeps,sa_seed
4x4,4,SS,False,44,246,SA,OK,0.41958139976486564,1000,2593.087900003069,2593.0879,True,0.0,0.0,0.009,2593.0879,2593.087900003069,1000,7.996405919885547e-15,2593.087900042534,True,1000,9,1000,12345
4x4,4,SS,True,60,278,SA,OK,0.5686371996998787,1000,2416.8363999836147,2416.8364,True,0.0,0.0,0.008,2416.8364,2416.8363999836147,1000,1.0022234043850695e-14,2416.836400061846,True,1000,8,1000,12345
4x4,4,MS,False,120,2540,SA,OK,2.206469700206071,1000,3123.4155000150204,3123.4155,True,0.0,0.0,0.897,3123.4155,3123.4155000150204,1000,4.047187618217265e-14,3123.4155008792877,True,1000,897,1000,12345
4x4,4,MS,True,212,3384,SA,OK,3.5005700001493096,1000,3578.5833001956344,3578.5833000000002,True,0.0,0.0,0.63,3578.5833000000002,3578.5833001956344,1000,7.176949173915406e-14,3578.5832977592945,True,1000,630,1000,12345
6x6,6,SS,False,79,571,SA,OK,0.7344701997935772,1000,18324.893920009577,5354.1282,False,1.0,1.0,0.002,5988.4188,18959.184519880306,1000,5.836658046441971e-14,18324.893923282623,True,1000,2,1000,12345
6x6,6,SS,True,115,643,SA,OK,1.0452733002603054,1000,18458.380420078385,5487.6147,False,1.0,1.0,0.003,5711.6042,874752.9074401599,1000,6.63133666597127e-14,18458.38042664528,True,1000,3,1000,12345
6x6,6,MS,False,259,8701,SA,OK,6.466006699949503,1000,5193.725599691272,5193.725600000001,True,0.0,0.0,0.977,5193.725600000001,5193.725599691272,1000,6.304287800803022e-13,5193.725621461868,True,1000,977,1000,12345
6x6,6,MS,True,475,10753,SA,OK,9.53632410010323,1000,6031.706301882863,6031.7063,True,0.0,0.0,0.653,5930.6206,31872.152040347457,1000,5.038569854828766e-13,6031.7063500881195,True,1000,653,1000,12345
8x8,8,SS,False,117,1030,SA,OK,1.185111299622804,1000,5725.805300213367,5725.8053,True,0.0,0.0,0.002,5271.9610999999995,95394.8940001982,1000,5.095009427804938e-14,5725.805321216583,True,1000,2,1000,12345
8x8,8,SS,True,181,1158,SA,OK,1.7155650998465717,1000,24577.338979846492,6552.7524,False,1.0,1.0,0.003,5962.6765,78061.02281976108,1000,2.35306492534788e-14,24577.338972568512,True,1000,3,1000,12345
8x8,8,MS,False,413,17603,SA,OK,11.762937099672854,1000,6683.231500297785,6683.2315,True,0.0,0.0,0.909,6683.2315,6683.231500297785,1000,5.056489646156831e-13,6683.231325149536,True,1000,909,1000,12345
8x8,8,MS,True,773,20843,SA,OK,17.559278899803758,1000,6897.2643955647945,6897.264399999999,True,0.0,0.0,0.597,6410.8175,24435.404078245163,1000,4.3687461576498727e-13,6897.264137268066,True,1000,597,1000,12345
15x15,15,SS,False,329,5026,SA,OK,3.6459633000195026,1000,389389.5386971105,13289.6178,False,6.0,1.0,0.0,,,1000,5.7227039870327865e-12,389389.5469055176,True,1000,0,1000,12345
15x15,15,SS,True,554,5476,SA,OK,5.4305549999699,1000,451333.6201519468,12550.379100000002,False,6.0,1.0,0.0,,,1000,5.50973098721669e-12,451333.6277923584,True,1000,0,1000,12345
15x15,15,MS,False,1439,123857,SA,OK,66.17577299987897,1000,14477.033998966217,14477.034,True,0.0,0.0,0.999,14477.034,14477.033998966217,1000,2.7476089534171312e-11,14477.053024291992,True,1000,999,1000,12345
15x15,15,MS,True,2774,136427,SA,OK,86.22536879964173,1000,77452.06584739685,14768.7457,True,0.0,0.0,0.588,14505.1572,892071.6393041611,1000,1.3629532974964108e-11,77452.08416748047,True,1000,588,1000,12345
